feature	249_1813_B	291_37_C	294_1781_A	299_1781_A	310_37_C	318_1813_B
WBGene00000774	2059	1674	1900	2067	2003	2855
WBGene00000775	98	140	114	105	145	175
WBGene00000776	33866	55340	36903	38904	45620	22858
WBGene00000777	7167	7160	6052	6086	6023	7362
WBGene00000778	127	70	66	64	55	72
WBGene00000779	2611	5663	2072	2895	2364	5460
WBGene00000780	130	216	172	278	205	426
WBGene00000781	2975	10619	7739	11472	5683	5047
WBGene00000782	0	0	0	0	0	0
WBGene00000783	1188	1438	688	597	969	1140
WBGene00000784	2371	16380	5383	8012	7440	5249
WBGene00000785	7829	13751	9781	9699	12688	12684
WBGene00000786	21944	35778	20317	20287	22671	10542
WBGene00000787	1105	1369	1059	1206	1158	1401
WBGene00000788	7546	15715	8268	8518	10972	4513
WBGene00000789	1120	2154	1129	1284	1480	1607
WBGene00000792	350	143	140	166	183	129
WBGene00000793	884	849	874	993	894	1795
WBGene00000794	3634	3193	3539	3775	3449	4076
WBGene00000795	548	630	500	494	512	430
WBGene00000796	4612	4341	4543	4614	4520	4504
WBGene00000797	322	384	324	319	298	339
WBGene00000798	676	1110	693	772	760	785
WBGene00000799	68	139	93	84	87	130
WBGene00000800	6631	5861	6466	6448	5988	5983
WBGene00000801	248	354	197	227	402	232
WBGene00000802	23291	22879	20534	22943	23656	26673
WBGene00000803	737	395	678	630	589	569
WBGene00000804	2592	2601	2485	2570	2590	2894
WBGene00000812	2206	1588	1812	1971	1759	2107
WBGene00000813	2866	2987	2830	2592	2578	2815
WBGene00000814	3136	4136	3140	3148	3010	3228
WBGene00000815	2735	3248	2775	2598	2631	2884
WBGene00000816	2748	2794	2607	2679	2578	2984
WBGene00000817	2353	2698	2236	2210	2145	2151
WBGene00000818	2357	2326	2197	2443	2287	2411
WBGene00000819	36	31	32	16	28	26
WBGene00000820	8	30	10	9	44	44
WBGene00000821	2	3	1	3	6	2
WBGene00000822	1267	3332	1247	1656	1419	2785
WBGene00000829	39747	60308	39343	42893	44234	51626
WBGene00000830	197	297	210	231	206	148
WBGene00000831	1507	2058	1478	1823	1447	742
WBGene00000832	428	347	321	317	332	456
WBGene00000833	15165	15853	15630	17416	17771	18134
WBGene00000834	3535	2797	3415	3266	3227	5002
WBGene00000835	673	1575	729	750	1035	1113
WBGene00000836	5378	4464	5247	4903	4856	4756
WBGene00000837	7952	5082	7264	7141	6838	9723
WBGene00000838	8033	5743	7540	7479	6870	7606
WBGene00000839	2943	2939	2821	2735	2660	2718
WBGene00000840	2801	2651	2581	2557	2617	1788
WBGene00000841	141	164	105	99	132	80
WBGene00000843	2687	3341	2419	2523	2598	2915
WBGene00000845	132	182	92	88	121	261
WBGene00000846	2650	2491	2538	2501	2401	2417
WBGene00000851	1	2	1	0	3	4
WBGene00000853	37	4	9	10	6	2
WBGene00000854	1903	2205	1826	1802	1649	1763
WBGene00000857	172	105	62	93	79	140
WBGene00000858	124	48	39	47	55	37
WBGene00000859	0	0	0	0	1	0
WBGene00000860	0	0	0	0	0	0
WBGene00000861	0	0	0	0	0	0
WBGene00000862	0	2	0	3	0	2
WBGene00000863	3061	2535	2531	2559	2668	2729
WBGene00000864	21	23	17	15	26	26
WBGene00000865	8812	5680	7275	8228	7280	8837
WBGene00000866	3996	4191	3818	3783	3514	4788
WBGene00000867	6746	7001	6140	6257	6318	7891
WBGene00000868	16611	12459	15193	15752	14970	17098
WBGene00000869	8505	10585	8674	9247	9604	11211
WBGene00000870	326	132	199	233	202	226
WBGene00000871	6163	4240	5788	5871	5479	5013
WBGene00000872	2840	1729	2484	2489	2138	1989
WBGene00000874	3461	2841	3198	2891	2856	3084
WBGene00000875	6979	3408	6357	6347	5739	7487
WBGene00000876	3057	2731	2698	2717	2686	2984
WBGene00000877	2758	4701	3139	3238	3391	3559
WBGene00000878	30	70	50	95	50	599
WBGene00000879	4719	7203	4515	4959	5237	6244
WBGene00000880	1943	2166	1980	1897	1769	1905
WBGene00000881	6515	8983	5515	7024	7562	7309
WBGene00000882	348	334	208	215	252	282
WBGene00000883	38840	43480	35796	37889	34703	45362
WBGene00000884	470	442	406	380	454	471
WBGene00000885	1264	1690	1281	1289	1349	1657
WBGene00000886	679	1047	643	716	650	812
WBGene00000887	642	958	599	657	667	727
WBGene00000888	971	1586	924	1007	1075	1127
WBGene00000889	2178	2448	2024	2047	2244	2159
WBGene00000890	1484	1749	1426	1410	1316	1584
WBGene00000891	2132	2352	2082	2285	2023	2169
WBGene00000892	1585	1575	1536	1496	1449	1688
WBGene00000893	27	10	2	1	8	1
WBGene00000894	9515	6164	8279	8549	7739	8897
WBGene00000895	6	9	7	10	10	26
WBGene00000896	2180	3924	1941	2252	2525	2311
WBGene00000897	842	767	680	800	898	962
WBGene00000898	3390	1787	3244	3033	2727	3367
WBGene00000899	631	555	499	624	537	508
WBGene00000900	1057	743	874	892	901	1111
WBGene00000901	1100	936	1041	1239	1061	629
WBGene00000902	23	6	5	4	11	9
WBGene00000903	24	5	15	13	14	21
WBGene00000904	312	248	195	227	258	221
WBGene00000905	12	9	15	19	10	32
WBGene00000906	11	17	11	8	2	6
WBGene00000907	7	0	1	3	3	6
WBGene00000908	264	233	260	282	339	417
WBGene00000910	214	388	170	248	172	223
WBGene00000911	6047	4148	5841	5195	5149	5300
WBGene00000912	3274	2851	3294	3374	3147	3516
WBGene00000913	16485	11964	15491	14664	13161	17770
WBGene00000914	534	323	372	410	422	463
WBGene00000915	103536	90273	101636	90848	98562	94318
WBGene00000917	1101	1258	1062	1052	1105	1161
WBGene00000920	0	2	1	5	0	19
WBGene00000923	2700	3818	2485	2694	2807	3027
WBGene00000928	536	106	50	77	128	7
WBGene00000929	462	925	417	520	626	647
WBGene00000930	0	1	3	2	25	0
WBGene00000931	11017	5491	10475	10700	10031	8600
WBGene00000932	1	1	1	4	0	0
WBGene00000933	1770	2287	1919	1882	2057	2009
WBGene00000934	1	8	6	3	4	6
WBGene00000935	11124	6775	10142	9530	9214	9388
WBGene00000936	60	108	65	89	54	129
WBGene00000937	1479	1554	1442	1467	1344	1404
WBGene00000938	3031	2000	2638	2422	2414	2250
WBGene00000939	5964	3974	5593	4989	4556	5538
WBGene00000940	1465	1328	1343	1417	1388	1349
WBGene00000941	956	2014	1000	1184	1258	1255
WBGene00000942	946	705	667	841	630	1475
WBGene00000950	18	11	11	23	14	45
WBGene00000951	5	12	6	8	14	42
WBGene00000952	2	11	4	8	10	17
WBGene00000953	16	7	4	3	8	8
WBGene00000955	6	8	6	19	9	38
WBGene00000958	80	39	32	42	47	89
WBGene00000959	534	687	398	534	508	604
WBGene00000960	4	0	3	0	0	2
WBGene00000961	881	393	586	518	571	634
WBGene00000962	13426	8013	14244	12067	11337	14034
WBGene00000963	343	427	311	393	333	907
WBGene00000964	57	95	64	62	46	195
WBGene00000965	1816	2149	1667	1734	1642	1929
WBGene00000966	579	319	166	257	233	88
WBGene00000967	2404	2320	1258	1402	1615	917
WBGene00000968	39	54	34	62	42	54
WBGene00000969	164	163	92	141	141	81
WBGene00000970	2323	3120	2130	2638	2138	2317
WBGene00000971	186	176	113	150	150	192
WBGene00000972	15	9	6	21	9	19
WBGene00000973	513	552	390	497	403	593
WBGene00000974	794	1250	762	826	814	947
WBGene00000975	1876	2603	1736	1766	1695	1768
WBGene00000976	2255	1819	2281	2224	2310	2345
WBGene00000977	483	555	331	281	336	530
WBGene00000978	0	1	1	0	0	13
WBGene00000979	10	7	1	5	1	1
WBGene00000980	314	310	314	314	280	409
WBGene00000981	537	1321	492	876	595	362
WBGene00000982	1660	519	333	471	382	592
WBGene00000983	841	286	244	298	242	198
WBGene00000984	358	407	196	219	294	385
WBGene00000985	3057	4130	2912	2860	3106	3250
WBGene00000986	10	19	6	10	16	6
WBGene00000987	1901	2189	2029	1983	2085	2224
WBGene00000988	1525	4739	2787	2236	3096	5907
WBGene00000989	67	44	48	61	28	22
WBGene00000990	210	197	116	140	174	212
WBGene00000991	3243	5033	2868	4021	3036	2489
WBGene00000992	110	133	64	72	79	169
WBGene00000993	423	598	394	477	409	413
WBGene00000994	1796	1736	1760	1742	1703	1699
WBGene00000995	1695	755	1106	1183	1175	991
WBGene00000996	2601	3549	2329	2994	2706	2619
WBGene00000998	311	69	204	384	146	451
WBGene00001000	1878	3035	1559	2220	1642	3640
WBGene00001001	3510	3559	3703	3455	3337	3272
WBGene00001002	2676	2129	2323	2406	2284	2241
WBGene00001005	6986	10299	6402	6679	7311	8009
WBGene00001006	2037	816	866	1096	991	756
WBGene00001007	2761	1967	2593	2684	2579	2397
WBGene00001008	564	719	696	752	772	1145
WBGene00001016	3721	2255	3440	3224	3067	3513
WBGene00001017	5513	4331	5274	5071	4841	5054
WBGene00001018	1867	2701	1796	1826	1892	1769
WBGene00001019	2319	2385	2138	2073	2181	2235
WBGene00001020	1365	1893	1281	1317	1465	1708
WBGene00001021	222	415	261	272	283	310
WBGene00001022	562	852	580	607	649	771
WBGene00001023	10514	7036	10353	10227	9549	10242
WBGene00001025	1079	1288	1016	1066	1172	999
WBGene00001026	2751	2048	2426	2327	2322	2707
WBGene00001027	2080	2179	1831	1810	1806	1814
WBGene00001028	1827	2012	1710	1737	1797	2026
WBGene00001029	8802	8465	8706	8390	8652	8751
WBGene00001030	9502	9776	9398	9140	9732	9654
WBGene00001031	6309	4579	5928	5604	5752	5600
WBGene00001032	606	672	472	552	555	587
WBGene00001033	614	1083	598	693	675	802
WBGene00001034	2049	2719	1838	1811	1911	2207
WBGene00001035	1996	2175	1797	1892	1903	2532
WBGene00001036	829	1122	725	843	841	1101
WBGene00001037	10042	8170	10184	9645	9775	9131
WBGene00001038	5224	6161	5654	5672	6003	6228
WBGene00001039	430	872	446	492	543	632
WBGene00001040	2096	3086	2072	2093	2001	1987
WBGene00001041	2179	2238	2039	2077	2092	2241
WBGene00001042	211	252	177	214	234	180
WBGene00001043	2531	1929	2409	2469	2286	2084
WBGene00001044	707	1058	698	643	728	797
WBGene00001045	796	474	472	516	566	533
WBGene00001046	1366	873	1112	1066	969	964
WBGene00001047	5336	4842	5155	5083	5188	4975
WBGene00001048	1137	1717	1110	1183	1253	1162
WBGene00001049	2167	1665	2031	1966	1791	1986
WBGene00001050	1103	1188	951	1047	983	1020
WBGene00001051	3752	4286	3514	3676	3390	4020
WBGene00001052	8	12	12	13	10	24
WBGene00001053	40	30	25	35	35	33
WBGene00001054	46	74	33	51	59	71
WBGene00001055	919	1582	1075	1068	1018	950
WBGene00001056	8365	7132	7835	7837	7561	8607
WBGene00001057	2889	3129	2858	2911	2935	3330
WBGene00001058	7583	6106	6882	6792	6391	7253
WBGene00001059	37	58	28	27	26	72
WBGene00001060	2428	1701	2357	2238	2009	2175
WBGene00001061	4122	2825	3835	3671	3642	3994
WBGene00001062	0	0	0	0	0	0
WBGene00001063	70	8	14	22	25	6
WBGene00001064	298	61	32	46	73	23
WBGene00001065	245	12	21	27	39	1
WBGene00001066	1	10	25	24	143	16
WBGene00001067	2	21	20	13	152	12
WBGene00001068	45	22	35	42	38	86
WBGene00001069	341	53	30	29	77	14
WBGene00001070	15	4	9	12	18	18
WBGene00001071	7	11	6	7	13	21
WBGene00001072	471	125	79	109	129	68
WBGene00001073	2726	2980	2450	2490	2804	2896
WBGene00001074	3	12	22	16	148	11
WBGene00001075	2151	323	233	242	387	10
WBGene00001076	2758	357	259	366	556	74
WBGene00001077	728	292	360	398	485	1127
WBGene00001078	238	231	197	198	211	233
WBGene00001079	0	0	3	4	6	3
WBGene00001080	2372	952	2137	2090	1734	1703
WBGene00001081	1643	729	1466	1271	1323	1606
WBGene00001082	1099	866	887	844	877	955
WBGene00001085	4984	3856	4829	4593	4279	4739
WBGene00001086	1601	828	1235	1156	1187	1146
WBGene00001087	3200	1993	3096	3247	2806	3245
WBGene00001088	2746	2545	2561	2798	2752	2834
WBGene00001089	873	1263	703	842	886	686
WBGene00001090	2165	1686	2004	1898	1869	1903
WBGene00001091	393	651	413	474	489	521
WBGene00001092	1989	2593	1874	1914	1970	2649
WBGene00001093	5222	4364	4790	4893	4629	4950
WBGene00001094	7416	7790	7480	7211	6949	7969
WBGene00001095	1019	1203	931	950	962	1112
WBGene00001096	0	4	0	1	0	1
WBGene00001099	1662	2048	1860	2137	2827	1338
WBGene00001101	668	609	544	546	581	582
WBGene00001102	3015	2533	2765	2673	2692	2853
WBGene00001103	15	14	10	9	12	1
WBGene00001104	97	137	74	74	80	31
WBGene00001105	124	28	26	34	50	16
WBGene00001106	0	0	0	1	0	0
WBGene00001107	2	2	3	2	1	1
WBGene00001108	80	9	5	6	11	0
WBGene00001109	6	2	1	3	7	9
WBGene00001110	2124	1654	1970	1802	1725	1738
WBGene00001111	16	5	10	14	8	9
WBGene00001112	3187	2993	3194	2988	2882	3449
WBGene00001113	94	103	76	130	84	188
WBGene00001115	187	97	87	99	102	142
WBGene00001116	56	57	55	62	52	117
WBGene00001117	25	23	5	9	8	12
WBGene00001118	47	34	20	26	32	100
WBGene00001119	158	331	114	146	316	191
WBGene00001121	20	12	2	3	6	4
WBGene00001122	25	21	17	14	18	28
WBGene00001123	125	49	30	48	45	63
WBGene00001127	19	15	11	13	11	9
WBGene00001129	12	1	4	0	6	7
WBGene00001130	2333	1109	2038	1932	1759	1724
WBGene00001131	989	376	615	596	601	1121
WBGene00001132	856	1200	625	742	745	1234
WBGene00001133	0	2	1	2	0	1
WBGene00001134	4896	4281	4822	4373	4375	4380
WBGene00001135	3	9	4	5	12	16
WBGene00001136	4	9	6	5	6	15
WBGene00001137	19586	13940	20048	20794	20488	23325
WBGene00001145	275	387	268	315	327	286
WBGene00001147	0	1	0	1	0	0
WBGene00001148	610	206	489	523	449	515
WBGene00001149	1912	3230	2737	2300	3356	2715
WBGene00001150	43	44	53	98	39	28
WBGene00001151	734	1032	788	721	838	881
WBGene00001152	144	237	131	140	158	155
WBGene00001153	2566	2661	2424	2782	2275	2685
WBGene00001154	1116	1609	1217	1265	1413	1590
WBGene00001155	4647	15007	6830	7663	9823	11809
WBGene00001156	1564	4830	2216	2000	3028	3324
WBGene00001157	189	440	216	282	262	187
WBGene00001158	215	1175	367	595	679	92
WBGene00001159	85	38	25	29	30	37
WBGene00001160	3303	3567	3169	3150	2980	3077
WBGene00001161	2168	1912	1964	2155	2115	2304
WBGene00001162	796	616	851	799	817	719
WBGene00001163	107	95	46	57	68	82
WBGene00001164	78	83	73	80	58	161
WBGene00001165	244	191	105	175	189	136
WBGene00001166	6307	5747	6323	5956	5720	6502
WBGene00001167	140082	128917	145934	137736	145064	114390
WBGene00001168	310992	186325	311939	286285	273497	214564
WBGene00001169	8831	6049	6433	6161	8282	5474
WBGene00001170	27	22	10	14	18	6
WBGene00001171	16	20	17	19	15	24
WBGene00001172	263	622	352	506	608	678
WBGene00001173	8414	5711	8440	9058	8354	9246
WBGene00001174	32	37	10	30	22	29
WBGene00001175	84	151	76	118	102	106
WBGene00001177	1174	1474	1355	1467	1660	1625
WBGene00001178	491	544	412	389	422	427
WBGene00001179	440	450	335	409	369	479
WBGene00001182	163	180	167	105	208	181
WBGene00001184	127	140	94	146	94	200
WBGene00001185	10	11	9	8	9	4
WBGene00001186	1127	617	806	907	800	905
WBGene00001187	207	108	99	130	118	240
WBGene00001188	37	112	58	57	97	49
WBGene00001189	331	945	475	614	614	636
WBGene00001190	33	59	33	47	41	37
WBGene00001193	447	354	325	401	373	385
WBGene00001194	5728	4534	5402	5277	4935	5183
WBGene00001196	2010	1056	1229	1274	1490	2065
WBGene00001202	28	71	35	59	53	89
WBGene00001204	26	22	15	17	12	16
WBGene00001207	121	80	50	42	48	42
WBGene00001208	695	1244	629	834	859	604
WBGene00001209	15366	10766	14911	13829	13311	11710
WBGene00001210	268	40	32	37	56	15
WBGene00001211	0	10	9	3	3	12
WBGene00001214	4076	3206	3883	3205	3232	4056
WBGene00001215	3143	1026	3019	2487	2117	2055
WBGene00001223	2	0	1	0	0	0
WBGene00001224	2800	1694	2707	2586	2471	2303
WBGene00001225	9700	5509	9363	8783	8672	6511
WBGene00001226	13672	13107	13793	12452	12852	11792
WBGene00001227	7743	8148	8036	7748	8066	6896
WBGene00001228	5114	5149	4990	4857	5082	4473
WBGene00001229	4597	6649	4497	4411	4828	4727
WBGene00001230	3639	4197	3505	3847	3709	3341
WBGene00001231	3627	4111	3420	3347	3627	3228
WBGene00001232	5246	4735	5206	5351	5170	4609
WBGene00001233	2422	3057	2241	2374	2457	2370
WBGene00001234	2855	2358	2836	3167	3004	2539
WBGene00001235	929	1132	836	897	930	1544
WBGene00001236	1470	1278	1431	1444	1432	1496
WBGene00001237	1	1	0	1	0	0
WBGene00001239	5400	9999	5769	7446	7175	7479
WBGene00001240	3476	7980	5310	4449	5906	4621
WBGene00001241	2370	2322	2541	2155	2444	2475
WBGene00001242	16	19	9	7	14	16
WBGene00001243	2120	6600	4059	2904	4709	5206
WBGene00001244	3346	10337	5686	5296	8208	8328
WBGene00001245	0	1	4	2	3	34
WBGene00001246	3	7	5	10	6	117
WBGene00001247	158	456	210	217	309	225
WBGene00001248	165	183	130	146	199	189
WBGene00001249	242	199	138	152	185	152
WBGene00001250	323	452	382	319	423	418
WBGene00001251	190	161	150	159	190	312
WBGene00001252	4	8	2	3	7	4
WBGene00001253	95	51	53	68	54	62
WBGene00001258	6245	3462	6207	5827	5309	5621
WBGene00001259	12874	10319	12421	11900	11142	10519
WBGene00001262	4074	4709	3797	4136	3908	4304
WBGene00001263	3693	3306	3281	4998	3182	6463
WBGene00001281	2972	2504	2608	2519	2600	2701
WBGene00001284	3404	3091	3274	3233	3078	3402
WBGene00001303	4368	7551	4657	5207	5931	3938
WBGene00001309	1810	1913	1538	1629	1745	1935
WBGene00001310	5	4	5	5	6	3
WBGene00001311	6	14	10	6	8	5
WBGene00001320	4944	4149	4492	5067	4753	5195
WBGene00001324	2079	1544	2069	1936	1920	1880
WBGene00001325	702	577	573	657	536	563
WBGene00001328	2035	505	1238	1440	1135	2042
WBGene00001329	3028	2005	2578	2716	2468	2617
WBGene00001330	1110	935	1024	946	1223	1157
WBGene00001331	1091	1626	912	1072	1121	1163
WBGene00001332	1639	1770	1401	1511	1353	1829
WBGene00001333	9661	10694	9831	9789	10554	8835
WBGene00001334	2284	2456	2132	2299	2350	2404
WBGene00001335	338	375	326	334	304	354
WBGene00001336	6985	5854	7191	6726	6898	6036
WBGene00001337	10655	7692	11412	10247	10329	9614
WBGene00001338	639	933	602	631	688	848
WBGene00001340	3415	2005	2960	2865	2693	2543
WBGene00001345	201	287	185	243	215	290
WBGene00001352	5055	4126	5028	4674	4375	4649
WBGene00001358	594	941	542	561	574	621
WBGene00001362	5	9	3	4	10	18
WBGene00001365	1345	1141	1210	1114	1074	1115
WBGene00001366	275	288	239	212	256	185
WBGene00001368	202	108	123	142	128	222
WBGene00001371	666	930	587	658	678	704
WBGene00001372	2995	3178	2905	3146	2932	3802
WBGene00001373	1	16	0	4	6	9
WBGene00001374	15	28	16	26	15	26
WBGene00001377	191	61	47	58	75	20
WBGene00001385	4967	11959	4309	5301	5491	6572
WBGene00001386	22563	52463	19934	24791	23786	37317
WBGene00001387	420	233	143	558	157	12
WBGene00001388	6	12	3	8	9	4
WBGene00001389	34	81	57	55	65	126
WBGene00001390	727	1801	571	809	791	949
WBGene00001391	1	43	14	24	10	43
WBGene00001392	20	384	113	167	228	477
WBGene00001393	6677	11223	6418	7461	7907	6566
WBGene00001394	8829	17541	8894	10376	11530	9207
WBGene00001395	2315	3836	2313	2366	2841	1562
WBGene00001396	4756	7910	4805	5069	5653	5377
WBGene00001397	228	64	111	340	118	295
WBGene00001398	3516	7720	4456	4262	5353	4132
WBGene00001399	667	1537	991	2342	1094	33
WBGene00001400	10	5	4	4	5	1
WBGene00001401	924	911	832	895	830	974
WBGene00001402	841	931	850	813	831	909
WBGene00001403	371	628	506	533	671	388
WBGene00001404	2662	3902	2697	2961	3124	3707
WBGene00001405	2428	3160	2367	2320	2554	2560
WBGene00001406	641	727	581	608	583	557
WBGene00001410	32	18	22	29	40	38
WBGene00001411	2299	2476	2185	2237	2124	2523
WBGene00001412	3688	3165	3444	3611	3312	3658
WBGene00001413	1765	2232	1683	1581	1641	2143
WBGene00001414	13	3	13	20	14	51
WBGene00001423	20330	17251	21693	22559	22148	18580
WBGene00001424	0	2	6	5	8	45
WBGene00001425	403	541	277	321	392	400
WBGene00001426	2504	3648	2246	2678	2757	3279
WBGene00001427	8510	10794	7781	7791	8406	9370
WBGene00001428	248	237	161	174	219	315
WBGene00001429	50	23	10	10	22	19
WBGene00001430	679	462	362	444	409	375
WBGene00001431	9425	8644	8640	8876	8871	9140
WBGene00001432	127	63	41	33	49	29
WBGene00001433	52	100	38	38	57	113
WBGene00001434	36	9	12	6	11	1
WBGene00001435	108	106	93	97	95	121
WBGene00001436	72	67	64	56	50	63
WBGene00001437	9	8	9	2	4	6
WBGene00001438	21	24	20	25	25	75
WBGene00001439	437	387	279	465	254	352
WBGene00001440	11	4	2	10	7	7
WBGene00001441	462	223	407	368	371	502
WBGene00001442	2	9	2	2	3	4
WBGene00001443	3460	2790	3378	3097	3072	3669
WBGene00001444	12	7	5	25	12	89
WBGene00001445	10	18	19	16	16	14
WBGene00001446	7	32	8	20	15	19
WBGene00001447	2	50	19	24	33	25
WBGene00001448	6	55	21	28	29	78
WBGene00001449	706	1136	369	402	618	214
WBGene00001450	7	75	28	40	40	42
WBGene00001451	3	7	1	9	9	19
WBGene00001452	31	95	41	74	54	174
WBGene00001453	122	231	127	158	157	158
WBGene00001454	20	53	29	35	35	78
WBGene00001455	19	41	13	27	26	69
WBGene00001456	2	12	2	7	8	11
WBGene00001457	10	67	15	40	35	258
WBGene00001458	12	83	29	37	59	77
WBGene00001459	20	128	26	65	60	74
WBGene00001460	44	74	52	59	31	68
WBGene00001461	52	53	44	74	44	227
WBGene00001462	6	22	7	7	18	19
WBGene00001463	7	51	18	23	20	27
WBGene00001464	1	15	3	5	13	12
WBGene00001465	92	208	134	119	161	71
WBGene00001466	24	33	17	16	37	31
WBGene00001468	45	43	59	35	61	62
WBGene00001470	1305	947	1001	1015	981	1066
WBGene00001475	348	97	52	67	100	53
WBGene00001476	604	1066	287	709	486	273
WBGene00001477	4	10	12	10	3	3
WBGene00001478	74	139	84	107	113	182
WBGene00001479	380	460	401	467	355	801
WBGene00001480	1577	487	244	445	347	308
WBGene00001481	602	608	517	525	572	575
WBGene00001482	979	1322	966	973	978	1058
WBGene00001483	4	11	2	8	17	59
WBGene00001484	430	209	315	342	299	379
WBGene00001485	1570	1234	1502	1562	1471	1555
WBGene00001486	360	649	354	396	436	440
WBGene00001487	1	10	5	21	7	69
WBGene00001488	4100	3512	3958	4060	3683	4267
WBGene00001489	495	395	324	301	329	379
WBGene00001490	115	110	95	99	129	133
WBGene00001491	2755	2427	2547	2493	2432	2511
WBGene00001492	211	79	187	146	146	163
WBGene00001493	1616	1175	1349	1656	1356	1836
WBGene00001494	131	75	94	101	93	162
WBGene00001495	21	53	26	57	39	74
WBGene00001496	2245	2766	1945	1964	1986	1968
WBGene00001497	5497	6080	5467	5073	5484	5357
WBGene00001498	5069	4729	4800	4665	4333	4229
WBGene00001499	3357	3313	3179	3225	3077	3666
WBGene00001500	3	97	20	23	21	9
WBGene00001501	1671	8384	3679	3884	5174	3860
WBGene00001502	5725	5484	4622	5271	5463	5680
WBGene00001503	5261	4092	5289	5493	5116	5921
WBGene00001505	157	387	214	183	263	197
WBGene00001506	13	16	8	10	11	20
WBGene00001507	11	12	11	28	23	28
WBGene00001508	123	159	157	138	191	234
WBGene00001509	2981	2962	2799	2842	2654	3082
WBGene00001510	2973	2109	2587	2866	2503	2247
WBGene00001511	4942	4730	4817	4869	4683	5373
WBGene00001512	2	15	6	10	9	26
WBGene00001513	3669	3477	3464	3439	3160	3466
WBGene00001514	5345	3654	4816	4657	4681	4712
WBGene00001515	48	48	58	65	45	74
WBGene00001516	1113	656	953	938	850	1134
WBGene00001517	5	9	4	18	11	26
WBGene00001518	37	63	28	57	38	82
WBGene00001519	27	25	24	16	17	41
WBGene00001520	1375	2574	1440	1845	1900	2465
WBGene00001522	393	475	356	366	374	312
WBGene00001523	435	1526	269	657	443	207
WBGene00001526	3026	2348	2818	2736	2795	2537
WBGene00001527	2749	2960	2715	2866	2608	3112
WBGene00001528	0	0	0	0	0	1
WBGene00001529	0	2	0	2	0	6
WBGene00001530	0	0	0	2	1	0
WBGene00001531	0	0	0	0	0	2
WBGene00001532	0	1	0	0	2	0
WBGene00001533	1	1	0	1	1	2
WBGene00001534	0	0	0	0	0	0
